lluvia,geometry
18.0,"POLYGON ((-72.0987847034328 -34.68395311985473, -72.0987847034328 -34.70191942553712, -72.05386893922682 -34.70191942553712, -72.05386893922682 -34.68395311985473, -72.0987847034328 -34.68395311985473))"
55.0,"POLYGON ((-71.99997002217965 -34.68395311985473, -71.99997002217965 -34.70191942553712, -71.94607110513248 -34.70191942553712, -71.94607110513248 -34.68395311985473, -71.99997002217965 -34.68395311985473))"
64.0,"POLYGON ((-71.94607110513248 -34.68395311985473, -71.94607110513248 -34.70191942553712, -71.80234065967336 -34.70191942553712, -71.80234065967336 -34.68395311985473, -71.94607110513248 -34.68395311985473))"
67.0,"POLYGON ((-71.80234065967336 -34.68395311985473, -71.80234065967336 -34.70191942553712, -71.7035259784202 -34.70191942553712, -71.7035259784202 -34.68395311985473, -71.80234065967336 -34.68395311985473))"
72.0,"POLYGON ((-71.7035259784202 -34.68395311985473, -71.7035259784202 -34.70191942553712, -71.64962706137304 -34.70191942553712, -71.64962706137304 -34.68395311985473, -71.7035259784202 -34.68395311985473))"
67.0,"POLYGON ((-71.64962706137304 -34.68395311985473, -71.64962706137304 -34.70191942553712, -71.59572814432586 -34.70191942553712, -71.59572814432586 -34.68395311985473, -71.64962706137304 -34.68395311985473))"
63.0,"POLYGON ((-71.59572814432586 -34.68395311985473, -71.59572814432586 -34.70191942553712, -71.5508123801199 -34.70191942553712, -71.5508123801199 -34.68395311985473, -71.59572814432586 -34.68395311985473))"
65.0,"POLYGON ((-71.5508123801199 -34.68395311985473, -71.5508123801199 -34.70191942553712, -71.49691346307272 -34.70191942553712, -71.49691346307272 -34.68395311985473, -71.5508123801199 -34.68395311985473))"
60.0,"POLYGON ((-71.45199769886675 -34.68395311985473, -71.45199769886675 -34.70191942553712, -71.39809878181957 -34.70191942553712, -71.39809878181957 -34.68395311985473, -71.45199769886675 -34.68395311985473))"
59.0,"POLYGON ((-71.39809878181957 -34.68395311985473, -71.39809878181957 -34.70191942553712, -71.29928410056642 -34.70191942553712, -71.29928410056642 -34.68395311985473, -71.39809878181957 -34.68395311985473))"
65.0,"POLYGON ((-71.20046941931328 -34.68395311985473, -71.20046941931328 -34.70191942553712, -71.1465705022661 -34.70191942553712, -71.1465705022661 -34.68395311985473, -71.20046941931328 -34.68395311985473))"
71.0,"POLYGON ((-71.1465705022661 -34.68395311985473, -71.1465705022661 -34.70191942553712, -71.10165473806013 -34.70191942553712, -71.10165473806013 -34.68395311985473, -71.1465705022661 -34.68395311985473))"
74.0,"POLYGON ((-71.10165473806013 -34.68395311985473, -71.10165473806013 -34.70191942553712, -71.04775582101296 -34.70191942553712, -71.04775582101296 -34.68395311985473, -71.10165473806013 -34.68395311985473))"
69.0,"POLYGON ((-71.04775582101296 -34.68395311985473, -71.04775582101296 -34.70191942553712, -71.00284005680699 -34.70191942553712, -71.00284005680699 -34.68395311985473, -71.04775582101296 -34.68395311985473))"
67.0,"POLYGON ((-71.00284005680699 -34.68395311985473, -71.00284005680699 -34.70191942553712, -70.90402537555383 -34.70191942553712, -70.90402537555383 -34.68395311985473, -71.00284005680699 -34.68395311985473))"
69.0,"POLYGON ((-70.90402537555383 -34.68395311985473, -70.90402537555383 -34.70191942553712, -70.85012645850667 -34.70191942553712, -70.85012645850667 -34.68395311985473, -70.90402537555383 -34.68395311985473))"
72.0,"POLYGON ((-70.85012645850667 -34.68395311985473, -70.85012645850667 -34.70191942553712, -70.79622754145949 -34.70191942553712, -70.79622754145949 -34.68395311985473, -70.85012645850667 -34.68395311985473))"
71.0,"POLYGON ((-70.79622754145949 -34.68395311985473, -70.79622754145949 -34.70191942553712, -70.75131177725352 -34.70191942553712, -70.75131177725352 -34.68395311985473, -70.79622754145949 -34.68395311985473))"
75.0,"POLYGON ((-70.75131177725352 -34.68395311985473, -70.75131177725352 -34.70191942553712, -70.69741286020634 -34.70191942553712, -70.69741286020634 -34.68395311985473, -70.75131177725352 -34.68395311985473))"
82.0,"POLYGON ((-70.69741286020634 -34.68395311985473, -70.69741286020634 -34.70191942553712, -70.65249709600037 -34.70191942553712, -70.65249709600037 -34.68395311985473, -70.69741286020634 -34.68395311985473))"
87.0,"POLYGON ((-70.5985981789532 -34.68395311985473, -70.5985981789532 -34.70191942553712, -70.55368241474721 -34.70191942553712, -70.55368241474721 -34.68395311985473, -70.5985981789532 -34.68395311985473))"
98.0,"POLYGON ((-70.55368241474721 -34.68395311985473, -70.55368241474721 -34.70191942553712, -70.49978349770005 -34.70191942553712, -70.49978349770005 -34.68395311985473, -70.55368241474721 -34.68395311985473))"
116.0,"POLYGON ((-70.49978349770005 -34.68395311985473, -70.49978349770005 -34.70191942553712, -70.44588458065287 -34.70191942553712, -70.44588458065287 -34.68395311985473, -70.49978349770005 -34.68395311985473))"
115.0,"POLYGON ((-70.44588458065287 -34.68395311985473, -70.44588458065287 -34.70191942553712, -70.4009688164469 -34.70191942553712, -70.4009688164469 -34.68395311985473, -70.44588458065287 -34.68395311985473))"
106.0,"POLYGON ((-70.4009688164469 -34.68395311985473, -70.4009688164469 -34.70191942553712, -70.34706989939973 -34.70191942553712, -70.34706989939973 -34.68395311985473, -70.4009688164469 -34.68395311985473))"
99.0,"POLYGON ((-70.34706989939973 -34.68395311985473, -70.34706989939973 -34.70191942553712, -70.31113728803496 -34.70191942553712, -70.31113728803496 -34.68395311985473, -70.34706989939973 -34.68395311985473))"
44.0,"POLYGON ((-72.05386893922682 -34.68395311985473, -72.05386893922682 -34.746835189743095, -71.99997002217965 -34.746835189743095, -71.99997002217965 -34.68395311985473, -72.05386893922682 -34.68395311985473))"
90.0,"POLYGON ((-70.65249709600037 -34.68395311985473, -70.65249709600037 -34.70191942553712, -70.5985981789532 -34.70191942553712, -70.5985981789532 -34.746835189743095, -70.55368241474721 -34.746835189743095, -70.55368241474721 -34.70191942553712, -70.5985981789532 -34.70191942553712, -70.5985981789532 -34.68395311985473, -70.65249709600037 -34.68395311985473))"
19.0,"POLYGON ((-72.15268362047998 -34.68395311985473, -72.0987847034328 -34.68395311985473, -72.0987847034328 -34.70191942553712, -72.05386893922682 -34.70191942553712, -72.05386893922682 -34.746835189743095, -72.0987847034328 -34.746835189743095, -72.0987847034328 -34.70191942553712, -72.15268362047998 -34.70191942553712, -72.15268362047998 -34.746835189743095, -72.19759938468594 -34.746835189743095, -72.19759938468594 -34.70191942553712, -72.15268362047998 -34.70191942553712, -72.15268362047998 -34.68395311985473))"
20.0,"POLYGON ((-72.15268362047998 -34.70191942553712, -72.15268362047998 -34.746835189743095, -72.0987847034328 -34.746835189743095, -72.0987847034328 -34.70191942553712, -72.15268362047998 -34.70191942553712))"
51.0,"POLYGON ((-71.99997002217965 -34.70191942553712, -71.99997002217965 -34.746835189743095, -71.94607110513248 -34.746835189743095, -71.94607110513248 -34.70191942553712, -71.99997002217965 -34.70191942553712))"
